date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:27:29	101352/101352	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Apr%202021%2012:27:23%20GMT	https://ronabooking.com/hr/site/search?SearchForm%5Blocation%5D=OPATIJA&SearchForm%5Bfrom%5D=11.05.2021&SearchForm%5Bto%5D=15.05.2021	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/hr/site/search9dfb.html	(from https://ronabooking.com/hr)
14:27:34	105071/105071	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Apr%202021%2012:27:29%20GMT	https://ronabooking.com/hr/site/search?SearchForm%5Blocation%5D=PAG&SearchForm%5Bfrom%5D=11.05.2021&SearchForm%5Bto%5D=15.05.2021	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/hr/site/search3295.html	(from https://ronabooking.com/hr)
14:27:35	107446/107446	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Apr%202021%2012:27:34%20GMT	https://ronabooking.com/hr/blog/11	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/hr/blog/11.html	(from https://ronabooking.com/hr)
14:27:35	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2011%20Apr%202021%2012:27:35%20GMT	https://ronabooking.com/hr/auth/network/auth?authclient=vk	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/hr/auth/network/authbae0	(from https://ronabooking.com/hr)
14:27:35	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2011%20Apr%202021%2012:27:35%20GMT	https://ronabooking.com/hr/auth/network/auth?authclient=google	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/hr/auth/network/auth196f	(from https://ronabooking.com/hr)
14:27:35	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2011%20Apr%202021%2012:27:35%20GMT	https://ronabooking.com/hr/auth/network/auth?authclient=facebook	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/hr/auth/network/authcbf0	(from https://ronabooking.com/hr)
14:27:35	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2011%20Apr%202021%2012:27:35%20GMT	https://ronabooking.com/hr/auth/network/auth?authclient=instagram	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/hr/auth/network/auth86a8	(from https://ronabooking.com/hr)
14:27:36	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2011%20Apr%202021%2012:27:35%20GMT	https://ronabooking.com/hr/auth/network/auth?authclient=vk	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/hr/auth/network/authbae0	(from https://ronabooking.com/hr)
14:27:36	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2011%20Apr%202021%2012:27:36%20GMT	https://ronabooking.com/hr/auth/network/auth?authclient=google	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/hr/auth/network/auth196f	(from https://ronabooking.com/hr)
14:27:36	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2011%20Apr%202021%2012:27:36%20GMT	https://ronabooking.com/hr/auth/network/auth?authclient=facebook	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/hr/auth/network/authcbf0	(from https://ronabooking.com/hr)
